Date,Order Time,Order ID,Order Status,Customer ID,Customer Gender,Customer Age Group,City,Product Category,Product Name,Franchise/Theme,Size,Color,Quantity Ordered,Order Value (INR ?),Payment Method,Discount Applied (%),Coupon Used,Coupon Code,Delivery Partner,Delivery Time (Days),Return Request,Return Reason,Customer Rating (1-5),Review Sentiment,Inventory Status,Device Used,Traffic Source,New vs Returning Customer,Estimated Profit Margin (%)
12-10-2024,15:43:11,TSS4FEK1EBX,Cancelled,TSC9521292,Female,45+,Chennai,Hoodies,Tokyo Ghoul Kaneki Mask Hoodie,Anime,S,Off White,1,650,Credit Card,30,No,,Delhivery,0,No,,,,In Stock,Android App,Instagram,Returning,32.7
30-10-2024,22:37:08,TSS9NISAPP,Cancelled,TSC7814277,Female,35-44,Pune,Dresses,Platform 9¾ Graphic Tee,Harry Potter,S,Maroon,2,1500,UPI,25,No,,Blue Dart,0,No,,,,In Stock,Website,Direct Traffic,New,26.8
20-10-2024,10:23:42,TSSJLQXPJW,Returned,TSC4963046,Male,25-34,Delhi,Oversized T-Shirts,Straw Hat Crew Oversized Tee,One Piece,L,Black,1,480,Debit Card,10,Yes,ANIME20,Shadowfax,5,Yes,Defective Product,,,Out of Stock,Website,Facebook Ads,New,26.9
27-10-2024,10:22:52,TSS9MVE12T,Delivered,TSC8780733,Male,35-44,Other Tier-2/Tier-3 Cities,Jackets,TSS Varsity Jacket,Originals,M,Black,1,850,Net Banking,15,No,,Delhivery,4,No,,5,Positive,In Stock,iPhone App,Influencer Marketing,New,21.1
13-10-2024,09:49:23,TSSPZ0NBKMKP,Returned,TSC0956850,Male,19-24,Chennai,Dresses,Going Merry Ship Hoodie,One Piece,XL,Red,1,930,UPI,15,Yes,SAVE20,Blue Dart,3,Yes,Quality Not as Expected,,,In Stock,iPhone App,Influencer Marketing,New,41.6
07-10-2024,18:00:01,TSSADZ5LSD,Delivered,TSC4569234,Female,19-24,Jaipur,Hoodies,Slytherin House Pride Hoodie,Harry Potter,L,Maroon,1,890,Wallet,10,Yes,NEWUSER15,XpressBees,5,No,,4,Positive,Low Stock,Android App,Google Ads,New,40.2
18-10-2024,13:01:20,TSSCANMAZX,Returned,TSC1016915,Male,25-34,Kolkata,Oversized T-Shirts,Sharingan Eye Oversized Drop,Naruto,M,Grey,1,800,Net Banking,20,Yes,COMEBACK10,Blue Dart,3,Yes,Defective Product,,,In Stock,Website,Organic Search,New,26.9
03-10-2024,20:51:26,TSSF0Z0UNTDV,Delivered,TSC9698456,Male,45+,Bangalore,Hoodies,Going Merry Ship Hoodie,One Piece,L,Navy,1,990,COD,15,No,,Delhivery,2,No,,5,Positive,In Stock,Android App,Google Ads,Returning,18.7
27-10-2024,18:24:14,TSSQ7OHN5I,Delivered,TSC8041351,Female,25-34,Other Tier-2/Tier-3 Cities,Backpacks,TSS Campus Backpack,Originals,S,Maroon,1,800,UPI,20,No,,Blue Dart,4,No,,5,Positive,Low Stock,Android App,Influencer Marketing,New,21.5
20-10-2024,19:48:16,TSSQ3U6575,Delivered,TSC6783865,Male,25-34,Kolkata,T-Shirts,Marauders Map Tee,Harry Potter,XXL,Red,1,800,COD,20,No,,XpressBees,3,No,,5,Positive,Low Stock,iPhone App,Influencer Marketing,Returning,24.2
25-10-2024,19:21:08,TSS3EBDB91,Delivered,TSC1778014,Male,19-24,Ahmedabad,Hoodies,Akatsuki Cloud Hoodie,Naruto,M,Yellow,1,900,Debit Card,5,Yes,TSSFLASH,Shadowfax,5,No,,4,Positive,In Stock,Android App,Google Ads,New,34.2
11-10-2024,11:15:19,TSS418UBLD5,Delivered,TSC1377771,Female,25-34,Ahmedabad,Backpacks,TSS Campus Backpack,Originals,L,Navy,1,1280,COD,0,No,,XpressBees,8,No,,4,Positive,In Stock,Website,Email Campaign,New,34.9
31-10-2024,09:52:45,TSSICCAAVO,Delivered,TSC9465227,Female,25-34,Ahmedabad,Oversized T-Shirts,Classic Boxy Oversized Tee,Solid Basics,XL,Red,1,450,Wallet,40,Yes,WELCOME10,Delhivery,3,No,,4,Neutral,Out of Stock,Android App,Email Campaign,Returning,37.2
29-10-2024,18:13:16,TSSVR0JSO9A,In Transit,TSC1033471,Other,35-44,Hyderabad,T-Shirts,Jujutsu Kaisen Gojo Infinity Tee,Anime,M,Sky Blue,1,610,Debit Card,10,Yes,WELCOME10,Blue Dart,4,No,,,,Low Stock,Website,Email Campaign,New,29.2
26-10-2024,14:28:56,TSSOOMFDXJHP,Returned,TSC3480881,Male,25-34,Chennai,Dresses,Abstract Lines Tee,Minimal Collection,S,White,1,870,Credit Card,15,No,,Delhivery,2,Yes,Changed Mind,,,In Stock,Website,Organic Search,New,18.2
06-10-2024,10:59:03,TSSY5L4DI5,Delivered,TSC4639828,Male,25-34,Other Tier-2/Tier-3 Cities,Sneakers,Heritage Sneaker Low Top,Originals,XL,Maroon,1,900,UPI,10,Yes,TSSFLASH,Delhivery,7,No,,5,Positive,In Stock,Android App,Instagram,New,29.3
14-10-2024,16:15:38,TSS34WUA25OK,Delivered,TSC2184678,Other,35-44,Mumbai,Oversized T-Shirts,Straw Hat Crew Oversized Tee,One Piece,XL,Black,3,1260,COD,25,No,,Ekart,4,No,,5,Positive,Low Stock,iPhone App,Instagram,New,35.7
02-10-2024,20:56:27,TSSUOCSMLVYF,Delivered,TSC3981187,Male,19-24,Chennai,Backpacks,TSS Campus Backpack,Originals,S,Off White,1,850,UPI,15,No,,Blue Dart,1,No,,5,Positive,In Stock,Android App,Google Ads,Returning,32
05-10-2024,17:10:11,TSSHVIL6L8S,Cancelled,TSC1301026,Female,35-44,Kolkata,Oversized T-Shirts,Gryffindor Crest Oversized Tee,Harry Potter,L,Beige,1,570,COD,25,Yes,MARVEL15,Blue Dart,0,No,,,,In Stock,iPhone App,Organic Search,Returning,39.5
22-10-2024,17:10:18,TSSEPXB4Q8,Delivered,TSC7930302,Male,19-24,Bangalore,Hoodies,The Flash Scarlet Speedster Hoodie,DC,XL,Black,1,800,UPI,20,Yes,MARVEL15,Delhivery,3,No,,5,Positive,In Stock,Website,Instagram,New,36.2
24-10-2024,13:46:49,TSSGC8QEJY,Delivered,TSC4231688,Male,35-44,Mumbai,Accessories,Marvel Keychain Bundle,Marvel,L,Black,1,420,Wallet,10,No,,Ekart,4,No,,4,Positive,In Stock,iPhone App,Google Ads,New,38.1
31-10-2024,09:21:02,TSSF9CX668X,In Transit,TSC5910313,Other,45+,Mumbai,Shirts,Everyday Oxford Shirt,Solid Basics,M,Sky Blue,1,1000,Credit Card,0,No,,Delhivery,2,No,,,,In Stock,Android App,Influencer Marketing,New,34.1
10-10-2024,14:06:15,TSSJYRRQ9OZG,Delivered,TSC4634666,Female,25-34,Bangalore,Shorts,Weekend Shorts,Solid Basics,L,Lavender,1,450,UPI,10,No,,XpressBees,2,No,,4,Positive,In Stock,Android App,Instagram,Returning,38.4
12-10-2024,15:33:54,TSSMLMD9I5JG,Delivered,TSC2628859,Female,25-34,Other Tier-2/Tier-3 Cities,T-Shirts,Hawkins Lab Vintage Tee,Stranger Things,L,Sky Blue,1,430,UPI,30,Yes,TSSFLASH,Delhivery,6,No,,5,Positive,In Stock,iPhone App,Direct Traffic,Returning,24.8
14-10-2024,18:44:36,TSS8IH1KEO,Delivered,TSC4639828,Male,25-34,Pune,Hoodies,Tokyo Ghoul Kaneki Mask Hoodie,Anime,M,Off White,2,1700,UPI,15,Yes,FIRST15,Blue Dart,3,No,,3,Positive,In Stock,iPhone App,Facebook Ads,New,34.4
06-10-2024,11:05:14,TSSV2WKN0M,Delivered,TSC0675861,Male,19-24,Bangalore,Shirts,Monochrome Wave Shirt,Minimal Collection,XL,Navy,2,1460,Credit Card,15,Yes,FEST25,Blue Dart,3,No,,4,Positive,In Stock,Android App,Organic Search,Returning,23.1
05-10-2024,15:16:46,TSSK0ZJ33INK,Returned,TSC0311800,Male,25-34,Chandigarh,T-Shirts,Simba Pride Rock Tee,Disney,S,Navy,1,480,UPI,20,Yes,DIWALI30,Shadowfax,6,Yes,Size Issue,,,In Stock,Website,Instagram,New,39.6
14-10-2024,13:27:55,TSS1M49OJC6R,Delivered,TSC6275988,Other,25-34,Jaipur,Oversized T-Shirts,Classic Boxy Oversized Tee,Solid Basics,S,Charcoal,1,850,Wallet,15,Yes,FIRST15,Delhivery,7,No,,5,Positive,Low Stock,Android App,Instagram,Returning,39.9
07-10-2024,12:05:37,TSSAU0STOEZ,Delivered,TSC4378224,Male,19-24,Mumbai,Sneakers,Heritage Sneaker Low Top,Originals,XXL,Maroon,3,2550,COD,15,Yes,NEWUSER15,Delhivery,4,No,,3,Neutral,Low Stock,iPhone App,Direct Traffic,New,23.7
21-10-2024,12:43:11,TSSLXY8MOMHR,Delivered,TSC9923459,Female,25-34,Hyderabad,T-Shirts,Luffy Gear 5 Sun God Tee,One Piece,M,Olive,1,460,Credit Card,5,Yes,ANIME20,Ekart,3,No,,4,Neutral,Low Stock,Android App,Influencer Marketing,New,25.7
13-10-2024,14:48:23,TSS0RH6QLIZ,Delivered,TSC8801270,Female,19-24,Bangalore,Joggers,Sunday Mood Joggers,Minimal Collection,M,Charcoal,1,510,Credit Card,25,No,,Blue Dart,3,No,,4,Positive,In Stock,iPhone App,Organic Search,New,35.1
27-10-2024,17:17:48,TSSRGKTBBDP,Delivered,TSC2810166,Female,25-34,Kolkata,T-Shirts,Batman Logo Drop Shoulder Tee,Batman,M,Off White,3,3000,UPI,0,No,,XpressBees,2,No,,4,Positive,Out of Stock,iPhone App,Instagram,Returning,29.6
23-10-2024,16:41:21,TSS64C2V4IO,Delivered,TSC7264276,Male,19-24,Hyderabad,Dresses,Jujutsu Kaisen Gojo Infinity Tee,Anime,M,Grey,2,1640,COD,0,No,,Ekart,3,No,,5,Positive,In Stock,Website,Facebook Ads,New,37.3
10-10-2024,15:23:10,TSSTZUQGC499,Delivered,TSC1962148,Female,35-44,Pune,Dresses,Jujutsu Kaisen Gojo Infinity Tee,Anime,L,Grey,1,850,COD,15,Yes,WELCOME10,Blue Dart,5,No,,4,Positive,In Stock,iPhone App,Email Campaign,New,36.8
27-10-2024,19:09:52,TSSYSIQ2PZ91,Cancelled,TSC3993696,Male,25-34,Other Tier-2/Tier-3 Cities,Joggers,Hidden Leaf Village Joggers,Naruto,XL,Sky Blue,2,1780,COD,0,No,,Shadowfax,0,No,,,,Low Stock,Android App,Instagram,New,30.3
26-10-2024,18:49:23,TSSOT6KZ8U1,Delivered,TSC5696778,Female,19-24,Bangalore,Shorts,Weekend Shorts,Solid Basics,L,Beige,1,900,UPI,10,Yes,ANIME20,Ekart,4,No,,5,Positive,In Stock,iPhone App,Email Campaign,New,22.5
12-10-2024,12:03:04,TSSB6WSVV47,Cancelled,TSC4623910,Male,25-34,Delhi,Oversized T-Shirts,Superman S-Shield Oversized Tee,DC,XL,Rust,1,620,COD,0,No,,XpressBees,0,Yes,Defective Product,,,Out of Stock,iPhone App,Influencer Marketing,New,30.3
09-10-2024,12:30:19,TSSOEPKB7PXA,Delivered,TSC8088767,Male,19-24,Kolkata,Mobile Covers,Naruto Sharingan Phone Cover,Naruto,M,Forest Green,1,250,UPI,20,Yes,DIWALI30,Blue Dart,4,No,,3,Neutral,Out of Stock,Android App,Organic Search,New,34.4
22-10-2024,21:33:42,TSSAXK80H44,Delivered,TSC3517961,Other,35-44,Mumbai,Accessories,One Piece Straw Hat Cap,One Piece,L,Charcoal,2,420,COD,10,No,,Ekart,1,No,,4,Positive,In Stock,Android App,Influencer Marketing,Returning,42.2
05-10-2024,19:33:00,TSSLBV7ION,Delivered,TSC4710163,Female,35-44,Delhi,Joggers,Sunday Mood Joggers,Minimal Collection,M,Off White,4,3200,UPI,20,Yes,TSSFLASH,Blue Dart,3,No,,5,Positive,Low Stock,Android App,Google Ads,Returning,31
06-10-2024,11:27:37,TSSAQ2XVOROC,Delivered,TSC8009292,Male,45+,Pune,Hoodies,The Flash Scarlet Speedster Hoodie,DC,L,Beige,1,500,Wallet,50,Yes,WELCOME10,XpressBees,3,No,,4,Positive,In Stock,Android App,Facebook Ads,New,30.4
01-10-2024,11:25:09,TSSFWB64N2Y0,Delivered,TSC7127788,Male,45+,Bangalore,T-Shirts,Mulan Warrior Spirit Tee,Disney,L,White,1,370,Credit Card,10,Yes,SAVE20,XpressBees,3,No,,5,Positive,In Stock,Android App,Instagram,Returning,29
26-10-2024,21:18:12,TSS8UNAVL9R,Cancelled,TSC2934965,Male,25-34,Jaipur,Shorts,Weekend Shorts,Solid Basics,L,Black,2,1600,UPI,20,Yes,FIRST15,Delhivery,0,No,,,,In Stock,Website,Google Ads,Returning,22.9
21-10-2024,20:03:07,TSSTS2P9FLF,Delivered,TSC5661821,Other,25-34,Other Tier-2/Tier-3 Cities,Accessories,Streetwear Crossbody Bag,Originals,M,Charcoal,1,240,Wallet,0,No,,XpressBees,3,No,,4,Positive,In Stock,Android App,Google Ads,New,31.4
23-10-2024,09:18:58,TSSP43FAI0,Returned,TSC7757843,Female,19-24,Kolkata,Hoodies,Going Merry Ship Hoodie,One Piece,XL,Off White,1,1390,UPI,15,Yes,SAVE20,Ekart,3,Yes,Quality Not as Expected,,,Out of Stock,Website,Facebook Ads,New,33.4
26-10-2024,15:09:06,TSSHWPOJ3EXI,Delivered,TSC9110861,Male,25-34,Chennai,Accessories,Marvel Keychain Bundle,Marvel,XL,Sky Blue,1,370,COD,5,No,,Delhivery,2,No,,5,Positive,Low Stock,iPhone App,Influencer Marketing,Returning,36.8
14-10-2024,19:19:26,TSSR6IAU1QMD,Delivered,TSC8045790,Female,13-18,Pune,Oversized T-Shirts,Gryffindor Crest Oversized Tee,Harry Potter,XL,Olive,1,500,UPI,20,No,,Blue Dart,5,No,,3,Neutral,In Stock,iPhone App,Organic Search,New,39.8
18-10-2024,16:26:34,TSS96Z0CC9K,Returned,TSC2209013,Male,25-34,Jaipur,Sneakers,Heritage Sneaker Low Top,Originals,XXL,Forest Green,1,1630,Credit Card,5,No,,Delhivery,5,Yes,Wrong Product Delivered,,,In Stock,Android App,Instagram,New,28.4
05-10-2024,21:13:18,TSS2NB6DYK,Delivered,TSC3994590,Male,13-18,Delhi,Shorts,Weekend Shorts,Solid Basics,M,Maroon,1,350,UPI,25,Yes,SAVE20,Delhivery,2,No,,5,Positive,In Stock,Website,Facebook Ads,Returning,29.3
05-10-2024,10:48:30,TSS8W1ICJLD,Delivered,TSC2668598,Female,25-34,Delhi,Mobile Covers,Minimal Matte Phone Cover,Minimal Collection,M,Off White,1,200,COD,30,No,,Delhivery,3,No,,4,Positive,In Stock,Android App,Organic Search,New,44.9
21-10-2024,09:12:03,TSS101P5AF40,Delivered,TSC6579911,Male,35-44,Mumbai,Shorts,Weekend Shorts,Solid Basics,L,Lavender,1,450,Net Banking,5,No,,Ekart,1,No,,5,Positive,In Stock,Android App,Facebook Ads,New,20.4
14-10-2024,12:34:30,TSSDA426I62,Delivered,TSC7792962,Female,25-34,Mumbai,Backpacks,Street Ready Backpack,Originals,M,Forest Green,1,1000,Debit Card,0,No,,Blue Dart,2,No,,5,Positive,In Stock,Android App,Organic Search,New,23
18-10-2024,08:24:49,TSSK78IUVP7,Delivered,TSC0577854,Female,25-34,Other Tier-2/Tier-3 Cities,Oversized T-Shirts,Avengers Assemble Oversized Drop,Marvel,XL,Rust,1,520,Debit Card,25,No,,Ekart,4,No,,5,Positive,Low Stock,Android App,Google Ads,New,18.8
25-10-2024,18:06:57,TSS8R36BMQY,Delivered,TSC1121868,Female,35-44,Bangalore,Hoodies,Gotham City Hoodie,Batman,M,Olive,1,1000,COD,0,No,,Ekart,2,No,,4,Neutral,Out of Stock,Android App,Instagram,New,21.5
20-10-2024,10:21:37,TSSUCGM0WYTR,Delivered,TSC9237578,Male,25-34,Chandigarh,T-Shirts,PS5 DualSense Controller Tee,Gaming,S,Maroon,1,600,UPI,0,No,,Ekart,5,No,,3,Positive,In Stock,iPhone App,Organic Search,Returning,21.1
17-10-2024,10:12:49,TSSYJHGV8T0,Delivered,TSC4048210,Male,25-34,Other Tier-2/Tier-3 Cities,Hoodies,Akatsuki Cloud Hoodie,Naruto,XL,Grey,2,1900,Debit Card,5,No,,Delhivery,7,Yes,Size Issue,5,Positive,In Stock,Android App,Email Campaign,New,25.3
18-10-2024,16:32:38,TSSD4WLRHV,Delivered,TSC3747944,Female,19-24,Jaipur,Jackets,Thor Lightning Strike Jacket,Marvel,XL,Beige,1,1070,Credit Card,25,No,,XpressBees,4,No,,5,Positive,In Stock,Android App,Facebook Ads,New,21.9
10-10-2024,16:32:43,TSSNIT3L82E,Delivered,TSC8775440,Female,25-34,Delhi,Backpacks,TSS Campus Backpack,Originals,M,Yellow,2,1500,UPI,25,Yes,WELCOME10,Shadowfax,2,No,,4,Positive,In Stock,Android App,Facebook Ads,New,24.1
02-10-2024,12:03:42,TSSPFOF5EZZ,Delivered,TSC0131646,Female,25-34,Hyderabad,T-Shirts,Zoro Three Swords Tee,One Piece,S,Olive,2,900,Wallet,0,No,,Delhivery,2,No,,5,Positive,In Stock,Android App,Google Ads,Returning,22.8
13-10-2024,08:18:37,TSS0KW76LNU,Delivered,TSC8155166,Male,25-34,Chennai,Jackets,Thor Lightning Strike Jacket,Marvel,XS,Olive,2,1600,UPI,20,Yes,COMEBACK10,Delhivery,3,No,,4,Positive,Out of Stock,Android App,Google Ads,New,19.9
07-10-2024,20:17:08,TSSL7VIJSJTT,Refunded,TSC7946820,Female,19-24,Mumbai,Shorts,Weekend Shorts,Solid Basics,M,Beige,1,240,UPI,40,Yes,TSSFLASH,Delhivery,0,Yes,Size Issue,,,Low Stock,iPhone App,Direct Traffic,New,23.9
12-10-2024,07:27:43,TSSBH7USWQ,Delivered,TSC0705125,Male,45+,Jaipur,Hoodies,Attack on Titan Survey Corps Hoodie,Anime,L,Charcoal,1,850,UPI,15,Yes,MARVEL15,Delhivery,5,No,,4,Positive,Low Stock,Website,Organic Search,New,22.4
28-10-2024,03:17:08,TSSAE54V0AT,Returned,TSC8003468,Male,25-34,Chennai,T-Shirts,Wonder Woman Gold Armor Tee,DC,XL,Navy,1,850,UPI,15,No,,Delhivery,3,Yes,Changed Mind,,,In Stock,Android App,Google Ads,Returning,25.5
07-10-2024,15:00:18,TSSAAWFGLZ62,Delivered,TSC9448657,Male,19-24,Bangalore,T-Shirts,Cyberpunk 2077 Night City Tee,Gaming,XXL,Olive,1,530,COD,10,No,,Delhivery,3,No,,5,Positive,In Stock,iPhone App,Facebook Ads,New,35.9
03-10-2024,18:11:11,TSSZ3ZXCJJS,Delivered,TSC2783379,Male,25-34,Hyderabad,Mobile Covers,Minimal Matte Phone Cover,Minimal Collection,M,Maroon,1,800,Net Banking,20,No,,Delhivery,1,No,,4,Positive,Out of Stock,Android App,Email Campaign,New,43.5
09-10-2024,16:21:23,TSSFWG9LVO2F,Refunded,TSC1441633,Female,35-44,Jaipur,Joggers,One Piece Map Adventure Joggers,One Piece,XL,Olive,1,630,Credit Card,20,No,,XpressBees,0,Yes,Late Delivery,,,Out of Stock,Android App,Facebook Ads,Returning,33.5
09-10-2024,21:08:24,TSSZ6U6LAA,In Transit,TSC4065681,Male,25-34,Pune,Joggers,Hidden Leaf Village Joggers,Naruto,L,Beige,1,850,COD,15,Yes,NEWUSER15,Ekart,4,No,,,,In Stock,Website,Instagram,Returning,25
21-10-2024,10:51:29,TSSDM56L02WI,Cancelled,TSC5111725,Male,45+,Kolkata,Mobile Covers,Minimal Matte Phone Cover,Minimal Collection,L,Navy,1,290,Credit Card,30,No,,Shadowfax,0,No,,,,Low Stock,Website,Organic Search,New,53.1
18-10-2024,14:39:30,TSS097N5ZG,Cancelled,TSC1627664,Male,45+,Mumbai,Hoodies,Spider-Man Web Slinger Hoodie,Marvel,XL,Olive,2,2440,Credit Card,5,No,,Delhivery,0,No,,,,In Stock,Website,Facebook Ads,New,41.6
26-10-2024,20:16:51,TSS4XB96IOFP,Delivered,TSC0506991,Male,25-34,Chennai,Oversized T-Shirts,Superman S-Shield Oversized Tee,DC,M,Lavender,1,550,Debit Card,10,No,,Delhivery,3,No,,5,Positive,Low Stock,iPhone App,Instagram,New,18.6
21-10-2024,10:11:16,TSSGC284LCZ,Delivered,TSC5272983,Male,19-24,Mumbai,T-Shirts,Among Us Crewmate Tee,Gaming,S,Beige,1,1000,COD,0,No,,Shadowfax,2,No,,5,Positive,In Stock,Android App,Organic Search,New,41
12-10-2024,20:34:58,TSSP7T50MA,Delivered,TSC3894419,Male,25-34,Delhi,Hoodies,Casual Zip Hoodie,Solid Basics,M,Sky Blue,1,750,Credit Card,25,Yes,NEWUSER15,Ekart,2,No,,5,Positive,Low Stock,Android App,Google Ads,Returning,35.2
27-10-2024,09:54:40,TSSZUN9NGX0,Returned,TSC8807855,Male,19-24,Delhi,T-Shirts,Zoro Three Swords Tee,One Piece,M,Maroon,2,1600,COD,20,No,,Shadowfax,1,Yes,Size Issue,,,Low Stock,iPhone App,Influencer Marketing,Returning,19.8
06-10-2024,20:07:24,TSSVCLSLHXCD,Returned,TSC5824380,Female,35-44,Chandigarh,Dresses,Essential Crew Neck Tee,Solid Basics,L,Rust,1,800,UPI,20,Yes,TSSFLASH,Shadowfax,3,Yes,Changed Mind,,,In Stock,iPhone App,Email Campaign,New,23.7
01-10-2024,21:26:43,TSS6Y946PPC,Delivered,TSC9422819,Male,19-24,Kolkata,Joggers,One Piece Map Adventure Joggers,One Piece,XL,Beige,1,1000,UPI,0,No,,XpressBees,2,No,,4,Positive,In Stock,Android App,Instagram,New,30.4
04-10-2024,18:38:31,TSS0ZJX7YZ1N,Delivered,TSC7497693,Female,13-18,Ahmedabad,Dresses,Minecraft Creeper Oversized Hoodie,Gaming,XL,Grey,2,1640,UPI,10,No,,Ekart,6,No,,4,Positive,In Stock,Android App,Email Campaign,Returning,20.1
23-10-2024,07:36:10,TSSO4FP1KQ,Delivered,TSC3550988,Male,19-24,Other Tier-2/Tier-3 Cities,Accessories,TSS Gym Socks 3-Pack,Solid Basics,XL,White,1,950,UPI,5,No,,Ekart,5,No,,5,Positive,In Stock,iPhone App,Instagram,New,42.2
14-10-2024,12:34:41,TSSBYG6GYX,Cancelled,TSC5361813,Female,25-34,Pune,Shirts,Everyday Oxford Shirt,Solid Basics,M,Yellow,1,730,Credit Card,0,No,,XpressBees,0,No,,,,In Stock,iPhone App,Organic Search,Returning,19.9
06-10-2024,16:05:27,TSS0RSW3ETQ7,Delivered,TSC8054740,Male,35-44,Other Tier-2/Tier-3 Cities,T-Shirts,Jujutsu Kaisen Gojo Infinity Tee,Anime,XL,Sky Blue,2,720,UPI,25,No,,XpressBees,5,No,,5,Positive,Low Stock,Android App,Influencer Marketing,New,21.7
15-10-2024,14:54:23,TSSM2ZMF1TQ,In Transit,TSC7193588,Male,45+,Delhi,Joggers,Sunday Mood Joggers,Minimal Collection,L,Olive,1,600,COD,20,No,,Blue Dart,2,No,,,,Low Stock,Android App,Instagram,New,21.4
05-10-2024,09:24:17,TSSUD2J21V,Delivered,TSC9094680,Male,35-44,Bangalore,Shorts,Weekend Shorts,Solid Basics,M,Rust,1,900,UPI,10,No,,Ekart,4,No,,3,Negative,In Stock,Android App,Instagram,New,41.2
22-10-2024,18:14:08,TSS96NLQE5F,Delivered,TSC7739658,Female,25-34,Delhi,Mobile Covers,Minimal Matte Phone Cover,Minimal Collection,L,Off White,1,270,Debit Card,10,No,,XpressBees,1,No,,5,Positive,Low Stock,Android App,Organic Search,Returning,46.6
13-10-2024,08:08:39,TSSDAC5RD5,Refunded,TSC5877048,Male,25-34,Hyderabad,Oversized T-Shirts,Classic Boxy Oversized Tee,Solid Basics,M,Forest Green,1,800,UPI,20,No,,Blue Dart,0,Yes,Late Delivery,,,In Stock,Website,Organic Search,New,41.8
12-10-2024,16:35:55,TSSBBBXPEAT,Delivered,TSC2769380,Female,13-18,Chennai,Hoodies,Spider-Man Web Slinger Hoodie,Marvel,XL,Olive,1,800,COD,20,No,,XpressBees,2,No,,4,Positive,Low Stock,Android App,Instagram,Returning,24.6
10-10-2024,10:37:07,TSSZITNSQ8,In Transit,TSC3767183,Male,19-24,Bangalore,Accessories,Anime Enamel Pin Set,Anime,M,Maroon,2,1500,UPI,25,Yes,ANIME20,Ekart,3,No,,,,In Stock,iPhone App,Facebook Ads,New,44.1
